#グループを作った際にそれまでの探索で見つけた候補ルートを一度削除してみた
|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
12 0.9289644822 1.4887443722 0.0166322711 0.00000000 0.00000000 0.00000000
13 0.9319659830 1.3071535768 0.0109312749 0.00000000 0.00000000 0.00000000
14 0.9309654827 1.4492246123 0.0148553477 0.00000000 0.00000000 0.00000000
15 0.9319659830 1.4712356178 0.0179618216 0.00000000 0.00000000 0.00000000
16 0.9314657329 1.2921460730 0.0115535679 0.00000000 0.00000000 0.00000000
17 0.9204602301 1.8494247124 0.0270902156 0.00000000 0.00000000 0.00000000
18 0.9299649825 1.4792396198 0.0214244884 0.00000000 0.00000000 0.00000000
19 0.9334667334 1.4242121061 0.0210114854 0.00000000 0.00000000 0.00000000
20 0.9324662331 1.4172086043 0.0178220304 0.00000000 0.00000000 0.00000000
21 0.9364682341 1.6713356678 0.0283232491 0.00000000 0.00000000 0.00000000
22 0.9414707354 1.4572286143 0.0256239448 0.00000000 0.00000000 0.00000000
23 0.9434717359 1.3721860930 0.0241414936 0.00000000 0.00000000 0.00000000
24 0.9454727364 1.3911955978 0.0212967186 0.00000000 0.00000000 0.00000000
25 0.9429714857 1.4402201101 0.0214363281 0.00000000 0.00000000 0.00000000
26 0.9394697349 1.5852926463 0.0227381154 0.00000000 0.00000000 0.00000000
27 0.9424712356 1.4687343672 0.0204969132 0.00000000 0.00000000 0.00000000
28 0.9424712356 1.3916958479 0.0182333150 0.00000000 0.00000000 0.00000000
29 0.9439719860 1.4432216108 0.0221957570 0.00000000 0.00000000 0.00000000
30 0.8039019510 6.0220110055 0.1175520570 6.30000000 59.20000000 50.40000000
31 0.8294147074 2.5602801401 0.0273430846 2.90000000 69.80000000 58.60000000
32 0.8364182091 2.2821410705 0.0216908540 3.40000000 68.90000000 56.60000000
33 0.8394197099 2.1720860430 0.0185812260 2.30000000 71.00000000 58.30000000
34 0.8634317159 2.0930465233 0.0219844387 1.90000000 71.70000000 58.00000000
35 0.8744372186 1.9254627314 0.0173165818 1.90000000 72.60000000 59.50000000
36 0.8759379690 1.8559279640 0.0153500138 1.60000000 70.70000000 57.20000000
37 0.8914457229 1.8319159580 0.0191606637 1.60000000 73.40000000 60.60000000
38 0.8929464732 1.6863431716 0.0162092168 1.50000000 73.10000000 60.90000000
39 0.8944472236 1.7758879440 0.0182726313 1.50000000 75.80000000 60.70000000
40 0.8944472236 1.8844422211 0.0238190152 1.90000000 70.70000000 55.70000000
41 0.8959479740 1.7683841921 0.0170721179 1.90000000 72.90000000 55.70000000
42 0.9019509755 1.7148574287 0.0169445185 1.50000000 74.40000000 57.10000000
43 0.9199599800 1.6593296648 0.0261083382 2.90000000 147.80000000 124.40000000
44 0.9209604802 1.7358679340 0.0286125843 1.60000000 95.50000000 73.20000000
45 0.9189594797 1.6233116558 0.0217052475 1.40000000 80.10000000 62.40000000
46 0.9219609805 1.5407703852 0.0180839146 0.90000000 81.60000000 63.50000000
47 0.9229614807 1.7473736868 0.0230476277 1.30000000 83.90000000 63.80000000
48 0.9359679840 1.4332166083 0.0173435908 0.80000000 85.20000000 64.70000000
49 0.9339669835 1.7258629315 0.0277073797 1.10000000 88.60000000 70.90000000
50 0.9399699850 1.4067033517 0.0176871983 1.10000000 91.80000000 74.30000000
51 0.9429714857 1.4022011006 0.0208136604 1.10000000 94.00000000 77.50000000
52 0.9469734867 1.2341170585 0.0163839313 1.10000000 97.60000000 83.00000000
53 0.9474737369 1.2726363182 0.0201909734 0.80000000 95.70000000 80.80000000
54 0.9554777389 1.2716358179 0.0248436816 0.90000000 95.00000000 77.60000000
55 0.9534767384 1.2191095548 0.0211590916 1.10000000 94.90000000 77.20000000
56 0.9524762381 1.0935467734 0.0167552124 1.00000000 94.90000000 78.10000000
57 0.9519759880 1.0635317659 0.0153370772 1.20000000 99.10000000 78.20000000
58 0.9544772386 0.9659829915 0.0133878888 0.90000000 99.10000000 78.20000000
59 0.9564782391 0.9579789895 0.0138640660 0.70000000 98.70000000 76.80000000
access %, disaccess %
0.009263472073088613, 0.07804101134780012
|M| = 15
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
00 0.8394197099 5.3521760880 0.1360650633 0.00000000 0.00000000 0.00000000
01 0.8869434717 2.2551275638 0.0316236196 0.00000000 0.00000000 0.00000000
02 0.8949474737 1.8369184592 0.0213126314 0.00000000 0.00000000 0.00000000
03 0.9069534767 1.7413706853 0.0192656980 0.00000000 0.00000000 0.00000000
04 0.9029514757 1.6488244122 0.0148179262 0.00000000 0.00000000 0.00000000
05 0.9074537269 1.6008004002 0.0149166100 0.00000000 0.00000000 0.00000000
06 0.9114557279 1.5872936468 0.0137224219 0.00000000 0.00000000 0.00000000
07 0.9094547274 1.6368184092 0.0139871158 0.00000000 0.00000000 0.00000000
08 0.9219609805 1.5747873937 0.0174320209 0.00000000 0.00000000 0.00000000
09 0.9249624812 1.4807403702 0.0145359621 0.00000000 0.00000000 0.00000000
10 0.9229614807 1.4837418709 0.0144155639 0.00000000 0.00000000 0.00000000
11 0.9244622311 1.4872436218 0.0134346796 0.00000000 0.00000000 0.00000000
12 0.9289644822 1.4887443722 0.0166127434 0.00000000 0.00000000 0.00000000
13 0.9319659830 1.3071535768 0.0109686773 0.00000000 0.00000000 0.00000000
14 0.9309654827 1.4492246123 0.0147068279 0.00000000 0.00000000 0.00000000
15 0.9319659830 1.4712356178 0.0179094770 0.00000000 0.00000000 0.00000000
16 0.9314657329 1.2921460730 0.0115118616 0.00000000 0.00000000 0.00000000
17 0.9204602301 1.8494247124 0.0269753895 0.00000000 0.00000000 0.00000000
18 0.9299649825 1.4792396198 0.0213675436 0.00000000 0.00000000 0.00000000
19 0.9334667334 1.4242121061 0.0210027060 0.00000000 0.00000000 0.00000000
20 0.9324662331 1.4172086043 0.0177119654 0.00000000 0.00000000 0.00000000
21 0.9364682341 1.6713356678 0.0280120121 0.00000000 0.00000000 0.00000000
22 0.9414707354 1.4572286143 0.0255130910 0.00000000 0.00000000 0.00000000
23 0.9434717359 1.3721860930 0.0239596456 0.00000000 0.00000000 0.00000000
24 0.9454727364 1.3911955978 0.0213871744 0.00000000 0.00000000 0.00000000
25 0.9429714857 1.4402201101 0.0212847974 0.00000000 0.00000000 0.00000000
26 0.9394697349 1.5852926463 0.0227604088 0.00000000 0.00000000 0.00000000
27 0.9424712356 1.4687343672 0.0204682186 0.00000000 0.00000000 0.00000000
28 0.9424712356 1.3916958479 0.0181463275 0.00000000 0.00000000 0.00000000
29 0.9439719860 1.4432216108 0.0221260499 0.00000000 0.00000000 0.00000000
