|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
05 0.7598799400 1.0910455228 0.0127303672 0.00000000
06 0.7658829415 0.9276066605 0.0108405713 0.00000000
07 0.7708854427 0.8057153577 0.0096452614 0.00000000
08 0.7803901951 0.7090211773 0.0087866267 0.00000000
09 0.7868934467 0.6343671836 0.0081098769 0.00000000
10 0.8034017009 0.5495020237 0.0075701488 0.00000000
11 0.8114057029 0.5081707520 0.0069443899 0.00000000
12 0.8274137069 0.4585754416 0.0066176158 0.00000000
13 0.8259129565 0.4296791253 0.0061073266 0.00000000
14 0.8279139570 0.3984325496 0.0057259828 0.00000000
15 0.8304152076 0.3715920460 0.0053180440 0.00000000
16 0.8089044522 0.3590618839 0.0049033259 0.00000000
17 0.7883941971 0.3463120449 0.0045523791 0.00000000
18 0.7823911956 0.3268739633 0.0042166667 0.00000000
19 0.8089044522 0.3035017509 0.0042364148 0.00000000
20 0.7908954477 0.2934562519 0.0038641614 0.00000000
21 0.7923961981 0.2796625586 0.0037237977 0.00000000
22 0.7963981991 0.2668725667 0.0035947751 0.00000000
23 0.8049024512 0.2508754377 0.0034862464 0.00000000
24 0.8074037019 0.2382791396 0.0033872953 0.00000000
25 0.8064032016 0.2286912687 0.0032320182 0.00000000
26 0.8054027014 0.2198321383 0.0030809964 0.00000000
27 0.8134067034 0.2101229186 0.0030705033 0.00000000
28 0.8229114557 0.1990132998 0.0029696747 0.00000000
29 0.8279139570 0.1908454227 0.0028748351 0.00000000
30 0.8554277139 0.1677451629 0.0035312880 13.93333333
31 0.8549274637 0.1621592046 0.0034795376 14.20000000
32 0.8484242121 0.1602316310 0.0034128653 15.13333333
33 0.8504252126 0.1551511050 0.0033426669 15.00000000
34 0.8504252126 0.1516901308 0.0032127949 14.80000000
35 0.8524262131 0.1475320994 0.0031756724 14.26666667
36 0.8559279640 0.1428146506 0.0031211910 14.73333333
37 0.8629314657 0.1378189095 0.0031028117 14.40000000
38 0.8549274637 0.1363887072 0.0030252459 14.73333333
39 0.8619309655 0.1313781891 0.0029476205 15.06666667
40 0.8644322161 0.1276613917 0.0028634683 15.33333333
41 0.8694347174 0.1214059411 0.0028355998 15.33333333
42 0.8704352176 0.1194899775 0.0026932675 15.53333333
43 0.8689344672 0.1174905635 0.0026236366 15.80000000
44 0.8699349675 0.1137568784 0.0025782592 15.66666667
45 0.8669334667 0.1116645279 0.0025132024 15.53333333
46 0.8729364682 0.1081498196 0.0025488797 15.53333333
47 0.8754377189 0.1054277139 0.0024773865 15.53333333
48 0.8769384692 0.1030719441 0.0024286708 15.46666667
49 0.8789394697 0.1005102551 0.0023736695 15.60000000
50 0.8829414707 0.0967836860 0.0023673513 15.00000000
51 0.8764382191 0.0958459999 0.0022819756 15.73333333
52 0.8794397199 0.0933863158 0.0022162513 15.40000000
53 0.8774387194 0.0914438701 0.0021999234 15.66666667
54 0.9009504752 0.0851607622 0.0022560160 14.33333333
55 0.8984492246 0.0839616237 0.0021944557 15.06666667
56 0.8979489745 0.0829186523 0.0021471374 14.66666667
57 0.8989494747 0.0814545204 0.0021158307 14.86666667
58 0.8979489745 0.0804470032 0.0021076310 14.86666667
59 0.8974487244 0.0809988327 0.0020682833 15.53333333
access %, disaccess %
0.015257946222484237, 0.07119480388701475
|M| = 20
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0952833899 0.00000000
01 0.7428714357 3.3274137069 0.0372342496 0.00000000
02 0.7343671836 2.2372853093 0.0247435425 0.00000000
03 0.7523761881 1.6529514757 0.0188742013 0.00000000
04 0.7768884442 1.2830415208 0.0158144095 0.00000000
05 0.7598799400 1.0910455228 0.0127447381 0.00000000
06 0.7658829415 0.9276066605 0.0108895969 0.00000000
07 0.7708854427 0.8057153577 0.0096578295 0.00000000
08 0.7803901951 0.7090211773 0.0087952088 0.00000000
09 0.7868934467 0.6343671836 0.0081227837 0.00000000
10 0.8034017009 0.5495020237 0.0075765940 0.00000000
11 0.8114057029 0.5081707520 0.0069362570 0.00000000
12 0.8274137069 0.4585754416 0.0066287936 0.00000000
13 0.8259129565 0.4296791253 0.0061054420 0.00000000
14 0.8279139570 0.3984325496 0.0057328344 0.00000000
15 0.8304152076 0.3715920460 0.0053234613 0.00000000
16 0.8089044522 0.3590618839 0.0049127924 0.00000000
17 0.7883941971 0.3463120449 0.0045636349 0.00000000
18 0.7823911956 0.3268739633 0.0042331487 0.00000000
19 0.8089044522 0.3035017509 0.0042332059 0.00000000
20 0.7908954477 0.2934562519 0.0038782509 0.00000000
21 0.7923961981 0.2796625586 0.0037366957 0.00000000
22 0.7963981991 0.2668725667 0.0036081639 0.00000000
23 0.8049024512 0.2508754377 0.0034964947 0.00000000
24 0.8074037019 0.2382791396 0.0034015296 0.00000000
25 0.8064032016 0.2286912687 0.0032234925 0.00000000
26 0.8054027014 0.2198321383 0.0030888568 0.00000000
27 0.8134067034 0.2101229186 0.0030857112 0.00000000
28 0.8229114557 0.1990132998 0.0029721080 0.00000000
29 0.8279139570 0.1908454227 0.0028754434 0.00000000
30 0.8654327164 0.1616937501 0.0042690924 14.55000000
31 0.8634317159 0.1560467734 0.0042003221 14.65000000
32 0.8604302151 0.1541983113 0.0041464702 15.55000000
33 0.8614307154 0.1491333902 0.0039807740 15.55000000
34 0.8614307154 0.1459444008 0.0038945196 15.50000000
35 0.8649324662 0.1410844311 0.0038082001 15.05000000
36 0.8649324662 0.1370009329 0.0037269120 15.40000000
37 0.8774387194 0.1297490851 0.0036579176 14.80000000
38 0.8659329665 0.1308731289 0.0036203984 15.35000000
39 0.8754377189 0.1258504252 0.0035799378 15.55000000
40 0.8749374687 0.1224880733 0.0034179704 15.60000000
41 0.8814407204 0.1162724219 0.0034308849 15.30000000
42 0.8809404702 0.1146503484 0.0032799233 15.40000000
43 0.8779389695 0.1129769430 0.0032036238 15.70000000
44 0.8794397199 0.1094769607 0.0031616697 15.35000000
45 0.8779389695 0.1072275268 0.0030929213 15.35000000
46 0.8849424712 0.1036262812 0.0031288197 15.15000000
47 0.8869434717 0.1009463065 0.0030278010 15.25000000
48 0.8879439720 0.0986411573 0.0029531988 15.05000000
49 0.8899449725 0.0962681341 0.0028921000 15.15000000
50 0.8944472236 0.0920165965 0.0029284640 14.75000000
51 0.8879439720 0.0912475469 0.0028880248 15.45000000
52 0.8899449725 0.0889973289 0.0027690456 15.10000000
53 0.8874437219 0.0871083690 0.0027254403 15.20000000
54 0.9114557279 0.0803037883 0.0027094769 13.15000000
55 0.9099549775 0.0787983277 0.0026147411 14.00000000
56 0.9099549775 0.0778722695 0.0025591185 13.85000000
57 0.9109554777 0.0765123941 0.0025035146 14.00000000
58 0.9044522261 0.0774200660 0.0024868332 13.85000000
59 0.9024512256 0.0775887944 0.0024685079 14.40000000
access %, disaccess %
0.015388739414036515, 0.07425716813238278
|M| = 25
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0955128318 0.00000000
01 0.7428714357 3.3274137069 0.0372680758 0.00000000
02 0.7343671836 2.2372853093 0.0247845757 0.00000000
03 0.7523761881 1.6529514757 0.0188548026 0.00000000
04 0.7768884442 1.2830415208 0.0158164634 0.00000000
05 0.7598799400 1.0910455228 0.0127202934 0.00000000
06 0.7658829415 0.9276066605 0.0108924742 0.00000000
07 0.7708854427 0.8057153577 0.0096387039 0.00000000
08 0.7803901951 0.7090211773 0.0087699974 0.00000000
09 0.7868934467 0.6343671836 0.0081548786 0.00000000
10 0.8034017009 0.5495020237 0.0076029278 0.00000000
11 0.8114057029 0.5081707520 0.0069488428 0.00000000
12 0.8274137069 0.4585754416 0.0066201438 0.00000000
13 0.8259129565 0.4296791253 0.0061050263 0.00000000
14 0.8279139570 0.3984325496 0.0057288355 0.00000000
15 0.8304152076 0.3715920460 0.0053138616 0.00000000
16 0.8089044522 0.3590618839 0.0049108313 0.00000000
17 0.7883941971 0.3463120449 0.0045642948 0.00000000
18 0.7823911956 0.3268739633 0.0042354108 0.00000000
19 0.8089044522 0.3035017509 0.0042293359 0.00000000
20 0.7908954477 0.2934562519 0.0038655894 0.00000000
21 0.7923961981 0.2796625586 0.0037226545 0.00000000
22 0.7963981991 0.2668725667 0.0035988688 0.00000000
23 0.8049024512 0.2508754377 0.0034915928 0.00000000
24 0.8074037019 0.2382791396 0.0033731270 0.00000000
25 0.8064032016 0.2286912687 0.0032193836 0.00000000
26 0.8054027014 0.2198321383 0.0030885744 0.00000000
27 0.8134067034 0.2101229186 0.0030600703 0.00000000
28 0.8229114557 0.1990132998 0.0029784260 0.00000000
29 0.8279139570 0.1908454227 0.0028727745 0.00000000
30 0.8734367184 0.1523987800 0.0057010412 15.28000000
31 0.8744372186 0.1470422711 0.0057942646 15.52000000
32 0.8729364682 0.1443903770 0.0056275909 15.64000000
33 0.8679339670 0.1415119324 0.0054341018 16.08000000
34 0.8694347174 0.1383120131 0.0053330492 16.00000000
35 0.8729364682 0.1335667834 0.0052136442 15.88000000
36 0.8724362181 0.1296459040 0.0050911756 16.16000000
37 0.8819409705 0.1231931755 0.0049471363 15.36000000
38 0.8759379690 0.1228049922 0.0049488462 16.16000000
39 0.8829414707 0.1181465733 0.0049245578 16.40000000
40 0.8809404702 0.1153625593 0.0047034249 16.48000000
41 0.8834417209 0.1100907597 0.0046312384 15.92000000
42 0.8844422211 0.1084146725 0.0044348637 16.36000000
43 0.8844422211 0.1063713675 0.0043625217 16.56000000
44 0.8864432216 0.1026402090 0.0042673886 16.16000000
45 0.8849424712 0.1010940253 0.0041266353 16.16000000
46 0.8909454727 0.0979425883 0.0041837391 15.96000000
47 0.8934467234 0.0953914457 0.0041116137 16.04000000
48 0.8934467234 0.0930158957 0.0039667659 15.76000000
49 0.8974487244 0.0907253627 0.0039439895 16.16000000
50 0.8999499750 0.0871121835 0.0038813902 15.44000000
51 0.8934467234 0.0864663101 0.0037935434 16.16000000
52 0.8954477239 0.0845045164 0.0037345668 15.84000000
53 0.8969484742 0.0823745206 0.0037231487 15.88000000
54 0.9159579790 0.0780299241 0.0036996219 14.72000000
55 0.9009504752 0.0799238905 0.0037610132 16.36000000
56 0.9004502251 0.0789429803 0.0036512768 15.88000000
57 0.9014507254 0.0775215194 0.0035613620 15.76000000
58 0.8944472236 0.0778779220 0.0035156771 15.36000000
59 0.8959479740 0.0765966316 0.0034860453 15.48000000
access %, disaccess %
0.014973706883745804, 0.07393344934873174
|M| = 30
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0951612461 0.00000000
01 0.7428714357 3.3274137069 0.0372961235 0.00000000
02 0.7343671836 2.2372853093 0.0247329917 0.00000000
03 0.7523761881 1.6529514757 0.0188751827 0.00000000
04 0.7768884442 1.2830415208 0.0158649860 0.00000000
05 0.7598799400 1.0910455228 0.0127614429 0.00000000
06 0.7658829415 0.9276066605 0.0108647003 0.00000000
07 0.7708854427 0.8057153577 0.0096610469 0.00000000
08 0.7803901951 0.7090211773 0.0087634503 0.00000000
09 0.7868934467 0.6343671836 0.0081078114 0.00000000
10 0.8034017009 0.5495020237 0.0075671971 0.00000000
11 0.8114057029 0.5081707520 0.0069643086 0.00000000
12 0.8274137069 0.4585754416 0.0066274824 0.00000000
13 0.8259129565 0.4296791253 0.0061047848 0.00000000
14 0.8279139570 0.3984325496 0.0057393561 0.00000000
15 0.8304152076 0.3715920460 0.0053131184 0.00000000
16 0.8089044522 0.3590618839 0.0049104844 0.00000000
17 0.7883941971 0.3463120449 0.0045551192 0.00000000
18 0.7823911956 0.3268739633 0.0042237892 0.00000000
19 0.8089044522 0.3035017509 0.0042306236 0.00000000
20 0.7908954477 0.2934562519 0.0038598451 0.00000000
21 0.7923961981 0.2796625586 0.0037202126 0.00000000
22 0.7963981991 0.2668725667 0.0036006097 0.00000000
23 0.8049024512 0.2508754377 0.0034843179 0.00000000
24 0.8074037019 0.2382791396 0.0033869782 0.00000000
25 0.8064032016 0.2286912687 0.0032214612 0.00000000
26 0.8054027014 0.2198321383 0.0030878862 0.00000000
27 0.8134067034 0.2101229186 0.0030612398 0.00000000
28 0.8229114557 0.1990132998 0.0029693933 0.00000000
29 0.8279139570 0.1908454227 0.0028878628 0.00000000
30 0.8764382191 0.1506882473 0.0072192296 13.43333333
31 0.8779389695 0.1449943722 0.0073562939 13.40000000
32 0.8779389695 0.1422832628 0.0071287820 13.90000000
33 0.8769384692 0.1381720272 0.0069029128 13.93333333
34 0.8769384692 0.1356392482 0.0067668048 13.86666667
35 0.8759379690 0.1318436996 0.0065005419 13.70000000
36 0.8764382191 0.1280099509 0.0064021720 13.96666667
37 0.8859429715 0.1216002738 0.0062167036 13.26666667
38 0.8794397199 0.1210990110 0.0061706487 13.90000000
39 0.8854427214 0.1166208104 0.0061540807 14.13333333
40 0.8824412206 0.1141668395 0.0058521111 14.30000000
41 0.8849424712 0.1090545273 0.0057596671 13.96666667
42 0.8859429715 0.1072745675 0.0055299371 14.40000000
43 0.8854427214 0.1053026513 0.0053968971 14.60000000
44 0.8889444722 0.1017175254 0.0052771982 14.20000000
45 0.8879439720 0.0995171499 0.0051670803 14.10000000
46 0.8929464732 0.0964844124 0.0051826211 13.96666667
47 0.8959479740 0.0939532266 0.0051353387 14.06666667
48 0.8969484742 0.0917703750 0.0050188840 14.03333333
49 0.8999499750 0.0894347174 0.0050018246 14.20000000
50 0.9024512256 0.0858370362 0.0049297103 13.66666667
51 0.8969484742 0.0851964444 0.0048549670 14.33333333
52 0.8989494747 0.0832397331 0.0047679338 14.06666667
53 0.8999499750 0.0811887425 0.0047640943 14.16666667
54 0.9174587294 0.0768929920 0.0046297526 13.10000000
55 0.9039519760 0.0786464661 0.0047591762 14.70000000
56 0.9044522261 0.0777581773 0.0046516905 14.36666667
57 0.9054527264 0.0763226441 0.0045575944 14.30000000
58 0.8984492246 0.0765976208 0.0044391023 14.06666667
